TITRE Français,ANNEE,DATE DE SORTIE FR,NATIONALITE,REALISATEUR,ACTEUR 1,ACTEUR 2,ACTEUR 3,GENRE 1 FR,GENRE 2 FR,GENRE 3 FR,DISTIBUTEUR FR,CUMUL ENTREES FR,Code Typologie,Copies
AVATAR LA VOIE DE LEAU,2022.0,2022-12-14,usa,james cameron,sam worthington,zoe saldana,sigourney weaver,science fiction,aventure,,the walt disney company,14201451.0,blockbuster us,762.0
UN PTIT TRUC EN PLUS,2024.0,2024-05-01,france,artus,artus,clovis cornillac,alice balaidi,comedie,,,pan distribution,10829070.0,comedie populaire francaise,
LE COMTE DE MONTE CRISTO,2024.0,2024-06-26,france,"matthieu delaporte, alexandre de la patelliere",pierre niney,bastien bouillon,anais demoustier,aventure,historique,,pathe films,9429939.0,francais intermediaire tout public,
VICE VERSA 2,2024.0,2024-06-19,usa,kelsey mann,,,,aventure,animation,comedie,the walt disney company,8415274.0,animation filles,
VAIANA 2,2024.0,2024-11-27,usa,"david g. derrick jr., jason hand, dana ledoux miller",cerise calixte,auli'i cravalho,anthony kavanagh,aventure,animation,famille,the walt disney company,8078043.0,animation filles,
LA REINE DES NEIGES 2,2019.0,2019-11-20,usa,"jennifer lee, chris buck",,,,animation,,,the walt disney company,7400505.0,animation filles,666.0
SUPER MARIO BROS,2023.0,2023-04-05,usa,"aaron horvath, michael jelenic",,,,animation,aventure,comedie,universal pictures,7359264.0,animation mixte,738.0
TOP GUN MAVERICK,2022.0,2022-05-25,usa,joseph kosinski,tom cruise,jennifer connelly,miles teller,action,,,paramount pictures int,6676052.0,blockbuster us,790.0
STAR WARS LASCENSION DE SKYWALKER,2019.0,2019-12-18,usa,j.j abrams,daisy ridley,adam driver,oscar isaac,science fiction,aventure,,the walt disney company,6011023.0,blockbuster us,731.0
BARBIE,2022.0,2023-07-19,usa,greta gerwig,margot robbie,ryan gosling,america ferrara,comedie,fantastique,famille,warner bros.,5844365.0,young adult movies,665.0
MUFASA LE ROI LION,2024.0,2024-12-18,usa,barry jenkins,tahar rahim,aaron pierre,gwendal marimoutou,aventure,animation,famille,the walt disney company,5232640.0,blockbuster famille us,683.0
LAMOUR OUF,2026.0,2026-10-16,france,gilles lellouche,adele exarchopoulos,francois civil,mallory wanecque,comedie,romance,thriller,studiocanal,4937702.0,francais intermediaire tout public,
Le Voyage de Zéphyria,2032,2032-06-15,France,Jean Dupont,Alice Martin,Paul Durand,Emma Leroy,Science-Fiction,Aventure,,Test Distribution,,FR,10
